수집시간,수집장비ID,축사번호,모듈ID,센서타입,측정값,센서시간
2021-09-17 05:52:42,GW01,H01,1102,co2,577,20210916205041
2021-09-17 05:52:52,GW01,H02,2001,humidity,76.63898,20210101000000
2021-09-17 05:55:17,GW01,H01,2000,humidity,80.27589,20210101000000
2021-09-17 05:55:17,GW01,H01,2000,temp,24.40001,20210101000000
2021-09-17 05:56:54,GW01,H02,2003,temp,24.60507,20210917055653
2021-09-17 05:56:54,GW01,H02,2003,humidity,67.50508,20210917055653
2021-09-17 05:58:42,GW01,H01,1100,co2,0,20210101000000
2021-09-17 05:58:42,GW01,H01,1100,nh3,0.01606,20210101000000
2021-09-17 05:58:52,GW01,H02,2001,temp,24.7661,20210101000000
2021-09-17 06:02:31,GW01,H01,2002,humidity,76.4741,20210917060229
2021-09-17 06:02:31,GW01,H01,2002,temp,24.70172,20210917060229
2021-09-17 06:02:52,GW01,H02,2001,humidity,76.34576,20210101000000
2021-09-17 06:02:44,GW01,H01,1102,nh3,1.082336,20210916210042
2021-09-17 06:02:44,GW01,H01,1102,co2,573,20210916210042
2021-09-17 06:05:17,GW01,H01,2000,temp,24.46897,20210101000000
2021-09-17 06:05:17,GW01,H01,2000,humidity,80.03793,20210101000000
2021-09-17 06:06:54,GW01,H02,2003,humidity,67.39658,20210917060654
2021-09-17 06:06:54,GW01,H02,2003,temp,24.60846,20210917060654
2021-09-17 06:08:43,GW01,H01,1100,co2,0,20210101000000
2021-09-17 06:08:52,GW01,H02,2001,temp,24.79656,20210101000000
2021-09-17 06:08:43,GW01,H01,1100,nh3,0.016275,20210101000000
2021-09-17 06:12:31,GW01,H01,2002,humidity,76.52588,20210917061229
2021-09-17 06:12:31,GW01,H01,2002,temp,24.69654,20210917061229
2021-09-17 06:12:52,GW01,H02,2001,humidity,76.40685,20210101000000
2021-09-17 06:12:45,GW01,H01,1102,co2,553,20210916211043
2021-09-17 06:12:45,GW01,H01,1102,nh3,1.043064,20210916211043
2021-09-17 06:15:17,GW01,H01,2000,humidity,80.06444,20210101000000
2021-09-17 06:15:17,GW01,H01,2000,temp,24.46441,20210101000000
2021-09-17 06:16:54,GW01,H02,2003,humidity,67.57121,20210917061654
2021-09-17 06:16:54,GW01,H02,2003,temp,24.60677,20210917061654
2021-09-17 06:18:43,GW01,H01,1100,co2,0,20210101000000
2021-09-17 06:18:52,GW01,H02,2001,temp,24.73966,20210101000000
2021-09-17 06:18:43,GW01,H01,1100,nh3,0.01689,20210101000000
2021-09-17 06:22:31,GW01,H01,2002,humidity,76.61405,20210917062230
2021-09-17 06:22:31,GW01,H01,2002,temp,24.6842,20210917062230
2021-09-17 06:22:52,GW01,H02,2001,humidity,76.65689,20210101000000
2021-09-17 06:22:46,GW01,H01,1102,nh3,1.06711,20210916212044
2021-09-17 06:22:46,GW01,H01,1102,co2,554,20210916212044
2021-09-17 06:25:17,GW01,H01,2000,humidity,80.10172,20210101000000
2021-09-17 06:25:17,GW01,H01,2000,temp,24.42883,20210101000000
2021-09-17 06:26:54,GW01,H02,2003,temp,24.61033,20210917062652
2021-09-17 06:26:54,GW01,H02,2003,humidity,67.75344,20210917062652
2021-09-17 06:28:44,GW01,H01,1100,nh3,0.015249,20210101000000
2021-09-17 06:28:52,GW01,H02,2001,temp,24.78597,20210101000000
2021-09-17 06:28:44,GW01,H01,1100,co2,0,20210101000000
2021-09-17 06:32:31,GW01,H01,2002,temp,24.60337,20210917063230
2021-09-17 06:32:31,GW01,H01,2002,humidity,76.9237,20210917063230
2021-09-17 06:32:47,GW01,H01,1102,co2,531,20210916213046
2021-09-17 06:32:47,GW01,H01,1102,nh3,1.050057,20210916213046
2021-09-17 06:32:52,GW01,H02,2001,humidity,76.89306,20210101000000
2021-09-17 06:35:17,GW01,H01,2000,temp,24.40001,20210101000000
2021-09-17 06:35:17,GW01,H01,2000,humidity,80.34913,20210101000000
2021-09-17 06:36:54,GW01,H02,2003,temp,24.69827,20210917063652
2021-09-17 06:36:54,GW01,H02,2003,humidity,68.1293,20210917063652
2021-09-17 06:38:52,GW01,H02,2001,temp,24.71551,20210101000000
2021-09-17 06:38:45,GW01,H01,1100,nh3,0.01914,20210101000000
2021-09-17 06:38:45,GW01,H01,1100,co2,0,20210101000000
2021-09-17 06:42:31,GW01,H01,2002,humidity,77.66439,20210917064230
2021-09-17 06:42:31,GW01,H01,2002,temp,24.50169,20210917064230
2021-09-17 06:42:48,GW01,H01,1102,nh3,0.995691,20210916214047
2021-09-17 06:42:48,GW01,H01,1102,co2,519,20210916214047
2021-09-17 06:42:52,GW01,H02,2001,humidity,77.33275,20210101000000
2021-09-17 06:45:17,GW01,H01,2000,temp,24.30001,20210101000000
2021-09-17 06:45:17,GW01,H01,2000,humidity,80.92712,20210101000000
2021-09-17 06:46:54,GW01,H02,2003,temp,24.62412,20210917064653
2021-09-17 06:46:54,GW01,H02,2003,humidity,68.76378,20210917064653
2021-09-17 06:48:52,GW01,H02,2001,temp,24.70508,20210101000000
2021-09-17 06:48:46,GW01,H01,1100,co2,0,20210101000000
2021-09-17 06:48:46,GW01,H01,1100,nh3,0.018986,20210101000000
2021-09-17 06:52:31,GW01,H01,2002,temp,24.37289,20210917065231
2021-09-17 06:52:31,GW01,H01,2002,humidity,79.05598,20210917065231
2021-09-17 06:52:49,GW01,H01,1102,co2,507,20210916215048
2021-09-17 06:52:49,GW01,H01,1102,nh3,0.958554,20210916215048
2021-09-17 06:52:52,GW01,H02,2001,humidity,78.11018,20210101000000
2021-09-17 06:55:17,GW01,H01,2000,humidity,81.94482,20210101000000
2021-09-17 06:55:17,GW01,H01,2000,temp,24.19482,20210101000000
2021-09-17 06:56:54,GW01,H02,2003,humidity,69.64035,20210917065653
2021-09-17 06:56:54,GW01,H02,2003,temp,24.59999,20210917065653
2021-09-17 06:58:52,GW01,H02,2001,temp,24.69999,20210101000000
2021-09-17 06:58:47,GW01,H01,1100,co2,0,20210101000000
2021-09-17 06:58:47,GW01,H01,1100,nh3,0.021869,20210101000000
2021-09-17 07:02:31,GW01,H01,2002,humidity,80.18621,20210917070229
2021-09-17 07:02:31,GW01,H01,2002,temp,24.2586,20210917070229
2021-09-17 07:02:50,GW01,H01,1102,nh3,0.983623,20210916220049
2021-09-17 07:02:50,GW01,H01,1102,co2,512,20210916220049
2021-09-17 07:02:52,GW01,H02,2001,humidity,79.13618,20210101000000
2021-09-17 07:05:17,GW01,H01,2000,temp,24.09999,20210101000000
2021-09-17 07:05:17,GW01,H01,2000,humidity,83.16209,20210101000000
2021-09-17 07:06:54,GW01,H02,2003,humidity,70.90846,20210917070653
2021-09-17 07:06:54,GW01,H02,2003,temp,24.50678,20210917070653
2021-09-17 07:08:52,GW01,H02,2001,temp,24.60507,20210101000000
2021-09-17 07:08:47,GW01,H01,1100,co2,0,20210101000000
2021-09-17 07:08:47,GW01,H01,1100,nh3,0.020757,20210101000000
2021-09-17 07:12:31,GW01,H01,2002,humidity,81.45518,20210917071229
2021-09-17 07:12:31,GW01,H01,2002,temp,24.11551,20210917071229
2021-09-17 07:12:51,GW01,H01,1102,nh3,0.972594,20210916221050
2021-09-17 07:13:01,GW01,H02,2001,humidity,80.10347,20210101000000
2021-09-17 07:12:51,GW01,H01,1102,co2,501,20210916221050
2021-09-17 07:15:17,GW01,H01,2000,humidity,84.08626,20210101000000
2021-09-17 07:15:17,GW01,H01,2000,temp,24,20210101000000
