org_file_name,db_weight_prediction_pixel_mean,jetson_weight_prediction_pixel_mean,delta,create_time
FA0002_GW01_H02_0013_20211125113441_farm_image_real_fc76a95e4605.jpg,10186.0,1705.0,8481.0,2021-11-25 11:34:41
FA0002_GW01_H02_0014_20211125113638_farm_image_real_da34f3a24b3c.jpg,9816.0,1676.0,8140.0,2021-11-25 11:36:38
FA0002_GW01_H02_0015_20211125113640_farm_image_real_0ba2c76446dd.jpg,9260.0,1612.0,7648.0,2021-11-25 11:36:40
FA0002_GW01_H01_0001_20211125113710_farm_image_real_8628ef624cfc.jpg,10036.0,1636.0,8400.0,2021-11-25 11:37:10
FA0002_GW01_H01_0002_20211125114228_farm_image_real_16568347441d.jpg,8766.0,1783.0,6983.0,2021-11-25 11:42:28
FA0002_GW01_H02_0010_20211125114431_farm_image_real_eb8509ef446a.jpg,9165.0,1544.0,7621.0,2021-11-25 11:44:31
FA0002_GW01_H02_0013_20211125114639_farm_image_real_07c6bdfd4b46.jpg,9577.0,1524.0,8053.0,2021-11-25 11:46:39
FA0002_GW01_H02_0015_20211125114640_farm_image_real_77a413084150.jpg,9346.0,1608.0,7738.0,2021-11-25 11:46:40
FA0002_GW01_H01_0001_20211125114713_farm_image_real_5dc448a747eb.jpg,9648.0,1696.0,7952.0,2021-11-25 11:47:13
FA0002_GW01_H02_0014_20211125114844_farm_image_real_a1e72ad34133.jpg,11156.0,1792.0,9364.0,2021-11-25 11:48:44
FA0002_GW01_H02_0010_20211125115630_farm_image_real_63c13b5b4950.jpg,8436.0,1354.0,7082.0,2021-11-25 11:56:30
FA0002_GW01_H02_0012_20211125115631_farm_image_real_ff4aacf44416.jpg,9766.0,1732.0,8034.0,2021-11-25 11:56:31
FA0002_GW01_H01_0001_20211125115718_farm_image_real_31a38d0c4623.jpg,9850.0,1696.0,8154.0,2021-11-25 11:57:18
FA0002_GW01_H02_0015_20211125115837_farm_image_real_86cb8f714432.jpg,9536.0,1648.0,7888.0,2021-11-25 11:58:37
FA0002_GW01_H01_0002_20211125120426_farm_image_real_a40942e14dfe.jpg,9212.0,1473.0,7739.0,2021-11-25 12:04:26
FA0002_GW01_H01_0001_20211125120720_farm_image_real_76dccf924383.jpg,9251.0,1701.0,7550.0,2021-11-25 12:07:20
FA0002_GW01_H02_0010_20211125120827_farm_image_real_26545db44de0.jpg,9598.0,1612.0,7986.0,2021-11-25 12:08:27
FA0002_GW01_H02_0013_20211125120835_farm_image_real_85d321b94651.jpg,8941.0,1542.0,7399.0,2021-11-25 12:08:35
FA0002_GW01_H02_0015_20211125120838_farm_image_real_1ff43ca24781.jpg,10401.0,1748.0,8653.0,2021-11-25 12:08:38
