"create_time","farm_id","house_id","module_id","org_file_name","weight_prediction_count","weight_prediction_pixel_mean","weight_prediction_weight","weight_prediction_status"
"2021-11-23 13:20:41","FA0002","H02","0014","FA0002_GW01_H02_0014_20211123132041_farm_image_real_905aff934be0.jpg",2,10907.0,2420.8,"success"
"2021-11-23 13:20:44","FA0002","H02","0010","FA0002_GW01_H02_0010_20211123132044_farm_image_real_6ad5bdbf465b.jpg",3,9264.0,2051.4,"success"
"2021-11-23 13:21:01","FA0002","H01","0007","FA0002_GW01_H01_0007_20211123132101_farm_image_real_8c947e82401f.jpg","","","","fail"
"2021-11-23 13:22:13","FA0002","H01","0001","FA0002_GW01_H01_0001_20211123132213_farm_image_real_1d9a730f4a33.jpg",4,9596.0,2126.1,"success"
"2021-11-23 13:22:33","FA0002","H02","0013","FA0002_GW01_H02_0013_20211123132233_farm_image_real_b5ca7f1d48de.jpg",4,9364.0,2073.9,"success"
"2021-11-23 13:24:27","FA0002","H01","0002","FA0002_GW01_H01_0002_20211123132427_farm_image_real_d15f64c24e1c.jpg",1,9063.0,2006.2,"success"
"2021-11-23 13:24:30","FA0002","H02","0012","FA0002_GW01_H02_0012_20211123132430_farm_image_real_cdb47b6d4fbd.jpg",3,8892.0,1967.8,"success"
"2021-11-23 13:24:37","FA0002","H02","0015","FA0002_GW01_H02_0015_20211123132437_farm_image_real_203402174e98.jpg",5,10080.0,2234.9,"success"
"2021-11-23 13:32:21","FA0002","H01","0001","FA0002_GW01_H01_0001_20211123133221_farm_image_real_6ab92c754128.jpg",4,8270.0,1828.0,"success"
"2021-11-23 13:32:35","FA0002","H02","0014","FA0002_GW01_H02_0014_20211123133235_farm_image_real_4884a3f642cc.jpg",3,10709.0,2376.3,"success"
"2021-11-23 13:32:36","FA0002","H02","0010","FA0002_GW01_H02_0010_20211123133236_farm_image_real_95223b454c8c.jpg",5,9075.0,2008.9,"success"
"2021-11-23 13:32:39","FA0002","H02","0013","FA0002_GW01_H02_0013_20211123133239_farm_image_real_4e3331f34c95.jpg",1,9555.0,2116.8,"success"
"2021-11-23 13:32:40","FA0002","H01","0007","FA0002_GW01_H01_0007_20211123133240_farm_image_real_6ae17c2348fc.jpg","","","","fail"
"2021-11-23 13:34:28","FA0002","H01","0002","FA0002_GW01_H01_0002_20211123133428_farm_image_real_291deff64b79.jpg","","","","fail"
"2021-11-23 13:36:30","FA0002","H02","0012","FA0002_GW01_H02_0012_20211123133630_farm_image_real_aeb0d6f44598.jpg","","","","fail"
"2021-11-23 13:36:38","FA0002","H02","0015","FA0002_GW01_H02_0015_20211123133638_farm_image_real_e6f0fbb6424d.jpg",3,8734.0,1932.3,"success"
