,CREATE_TIME,HOUSE_ID,MODULE_ID,WEIGHT_PREDICTION_WEIGHT,WEIGHT_PREDICTION_PIXEL_MEDIAN
225,2022-01-20 19:37:03,H01,"CT03,8",39.7,
226,2022-01-20 19:47:39,H02,"CT04,2",42.5,
227,2022-01-20 19:47:48,H02,"CT05,5",45.0,
228,2022-01-20 19:47:56,H02,"CT06,8",44.3,
229,2022-01-20 19:48:02,H03,"CT07,2",36.0,
230,2022-01-20 19:48:12,H03,"CT08,5",45.6,
231,2022-01-20 19:48:23,H03,"CT09,8",35.6,
232,2022-01-20 19:48:29,H01,"CT01,2",48.4,
233,2022-01-20 19:48:34,H03,"CT10,11",36.5,
234,2022-01-20 19:49:45,H01,"CT02,5",48.9,
235,2022-01-20 20:02:33,H02,"CT04,2",48.8,
236,2022-01-20 20:02:44,H02,"CT05,5",52.2,
237,2022-01-20 20:02:44,H01,"CT02,5",48.3,
238,2022-01-20 20:02:55,H02,"CT06,8",39.0,
239,2022-01-20 20:03:02,H03,"CT07,2",43.6,
240,2022-01-20 20:03:13,H03,"CT08,5",40.3,
241,2022-01-20 20:03:24,H03,"CT09,8",37.8,
242,2022-01-20 20:03:34,H03,"CT10,11",37.6,
243,2022-01-20 20:17:34,H02,"CT04,2",48.5,
244,2022-01-20 20:17:35,H01,"CT02,5",51.1,
245,2022-01-20 20:17:43,H02,"CT05,5",43.9,
246,2022-01-20 20:18:01,H02,"CT06,8",43.0,
247,2022-01-20 20:18:02,H03,"CT07,2",39.2,
248,2022-01-20 20:18:12,H03,"CT08,5",41.0,
249,2022-01-20 20:18:23,H03,"CT09,8",40.7,
250,2022-01-20 20:18:34,H03,"CT10,11",39.6,
251,2022-01-20 20:19:57,H01,"CT01,2",53.5,
252,2022-01-20 20:32:33,H02,"CT04,2",52.7,
253,2022-01-20 20:32:50,H02,"CT05,5",48.4,
254,2022-01-20 20:32:57,H02,"CT06,8",45.7,
255,2022-01-20 20:33:02,H03,"CT07,2",38.5,
256,2022-01-20 20:33:13,H03,"CT08,5",38.2,
257,2022-01-20 20:33:23,H03,"CT09,8",44.2,
258,2022-01-20 20:33:34,H03,"CT10,11",37.8,
259,2022-01-20 20:34:56,H01,"CT02,5",46.4,
260,2022-01-20 20:36:47,H01,"CT03,8",33.9,
261,2022-01-20 20:47:34,H02,"CT04,2",46.0,
262,2022-01-20 20:47:44,H02,"CT05,5",45.3,
263,2022-01-20 20:47:58,H02,"CT06,8",44.5,
264,2022-01-20 20:48:02,H03,"CT07,2",42.6,
