수집시간,수집장비ID,축사번호,모듈ID,센서타입,측정값,센서시간
2021-07-02 11:31:49,GW01,1,00000001,temp,26.68304,20210702113147
2021-07-02 11:31:49,GW01,1,00000001,humidity,75.0644,20210702113147
2021-07-02 11:30:40,GW01,1,00000001,co2,401.99,20210702113038
2021-07-02 11:30:40,GW01,1,00000001,nh3,3.18,20210702113038
2021-07-02 11:29:49,GW01,1,00000001,humidity,74.82665,20210702112947
2021-07-02 11:29:49,GW01,1,00000001,temp,26.68332,20210702112947
2021-07-02 11:28:39,GW01,1,00000001,co2,402.16,20210702112838
2021-07-02 11:28:39,GW01,1,00000001,nh3,3.40,20210702112838
2021-07-02 11:27:49,GW01,1,00000001,temp,26.69499,20210702112747
2021-07-02 11:27:49,GW01,1,00000001,humidity,74.63334,20210702112747
2021-07-02 11:26:40,GW01,1,00000001,co2,402.45,20210702112638
2021-07-02 11:26:40,GW01,1,00000001,nh3,3.79,20210702112638
2021-07-02 11:25:49,GW01,1,00000001,humidity,74.37998,20210702112547
2021-07-02 11:25:49,GW01,1,00000001,temp,26.69499,20210702112547
2021-07-02 11:24:41,GW01,1,00000001,co2,402.98,20210702112438
2021-07-02 11:24:41,GW01,1,00000001,nh3,4.47,20210702112438
2021-07-02 11:23:49,GW01,1,00000001,temp,26.71332,20210702112347
2021-07-02 11:23:49,GW01,1,00000001,humidity,74.59167,20210702112347
2021-07-02 11:22:39,GW01,1,00000001,nh3,5.34,20210702112238
2021-07-02 11:22:39,GW01,1,00000001,co2,403.68,20210702112238
2021-07-02 11:21:49,GW01,1,00000001,humidity,74.87001,20210702112147
2021-07-02 11:21:49,GW01,1,00000001,temp,26.74667,20210702112147
2021-07-02 11:20:39,GW01,1,00000001,co2,404.91,20210702112038
2021-07-02 11:20:39,GW01,1,00000001,nh3,6.81,20210702112038
2021-07-02 11:19:49,GW01,1,00000001,temp,26.725,20210702111947
2021-07-02 11:19:49,GW01,1,00000001,humidity,75.23835,20210702111947
2021-07-02 11:18:39,GW01,1,00000001,co2,407.40,20210702111838
2021-07-02 11:18:39,GW01,1,00000001,nh3,9.60,20210702111838
2021-07-02 11:17:49,GW01,1,00000001,humidity,75.365,20210702111746
2021-07-02 11:17:49,GW01,1,00000001,temp,26.72,20210702111746
2021-07-02 11:16:40,GW01,1,00000001,nh3,12.78,20210702111637
2021-07-02 11:16:40,GW01,1,00000001,co2,410.29,20210702111637
2021-07-02 11:15:49,GW01,1,00000001,temp,26.775,20210702111547
2021-07-02 11:15:49,GW01,1,00000001,humidity,75.48002,20210702111547
2021-07-02 11:14:39,GW01,1,00000001,nh3,12.76,20210702111437
2021-07-02 11:14:39,GW01,1,00000001,co2,410.28,20210702111437
2021-07-02 11:13:49,GW01,1,00000001,humidity,75.74499,20210702111347
2021-07-02 11:13:49,GW01,1,00000001,temp,26.78667,20210702111347
2021-07-02 11:12:40,GW01,1,00000001,co2,410.07,20210702111237
2021-07-02 11:12:40,GW01,1,00000001,nh3,12.48,20210702111237
2021-07-02 11:11:49,GW01,1,00000001,temp,26.79334,20210702111147
2021-07-02 11:11:49,GW01,1,00000001,humidity,75.44336,20210702111147
2021-07-02 11:10:39,GW01,1,00000001,nh3,11.91,20210702111037
2021-07-02 11:10:39,GW01,1,00000001,co2,409.62,20210702111037
2021-07-02 11:09:49,GW01,1,00000001,humidity,75.06998,20210702110947
2021-07-02 11:09:49,GW01,1,00000001,temp,26.77667,20210702110947
2021-07-02 11:08:39,GW01,1,00000001,co2,409.04,20210702110837
